Units,SqFt,Income,Expense,ValuePerSqFt,Boro
43,29535,981743,278220,153.82,Manhattan
49,60117,2401073,835025,196.9,Manhattan
80,79132,3433537,936923,237.7,Manhattan
30,41297,1391296,466656,166.21,Manhattan
25,27950,1049523,360555,181.18,Manhattan
165,198838,8329324,2388044,225.53,Manhattan
191,222784,10468620,2873914,256.16,Manhattan
44,23653,847724,218081,196.63,Manhattan
118,123404,4438842,1327827,186.01,Manhattan
234,235948,9081639,2560036,209.14,Manhattan
9,7335,262886,67629,197.41,Manhattan
15,20425,707726,247960,166.66,Manhattan
98,65393,2346301,452520,213.72,Manhattan
36,49157,1776042,425700,202.62,Manhattan
207,233744,11294510,2940500,268.12,Manhattan
128,125776,4216012,1255244,174.81,Manhattan
1121,1171064,40158762,13981299,127.95,Manhattan
205,194733,6527450,1943435,174.81,Manhattan
818,842317,36623943,12617909,178.91,Manhattan
118,119395,4595514,1295436,209.14,Manhattan
586,605018,22470369,8191944,173.64,Manhattan
485,508026,18207652,4694160,196.47,Manhattan
411,510770,20119230,6415271,202.87,Manhattan
445,328716,15702763,4615173,253.32,Manhattan
212,223307,8851889,2465309,216.22,Manhattan
50,96492,3438010,984218,187.91,Manhattan
65,74422,2665052,797060,185.4,Manhattan
340,494266,21100216,6277178,226.22,Manhattan
247,399221,16088606,5860564,193.59,Manhattan
38,43765,1531708,488620,176.42,Manhattan
33,32796,1248216,290245,209.48,Manhattan
35,88288,3167773,1063870,175.87,Manhattan
103,121921,4852456,1515478,194.88,Manhattan
183,187345,8857672,2718376,246.2,Manhattan
420,340000,14314000,3804600,216.12,Manhattan
79,78236,2941674,1006115,181.83,Manhattan
34,35328,1128376,374830,159.02,Manhattan
80,87821,3302070,1129378,181.84,Manhattan
218,293691,12390823,3882595,218.61,Manhattan
137,165323,7641229,2264925,244.51,Manhattan
129,128513,4148400,1222159,169.52,Manhattan
90,73690,3532000,662000,274.68,Manhattan
304,268626,12708696,3322904,246.42,Manhattan
108,210177,9943474,2599889,262.14,Manhattan
484,538783,21314000,8111000,173.56,Manhattan
528,604403,26750877,6618213,250.79,Manhattan
122,125813,5815077,1723638,244.51,Manhattan
704,551052,23882594,7125102,229.11,Manhattan
215,249339,11524449,3415944,244.51,Manhattan
65,54785,1710936,402670,178.3,Manhattan
65,54655,1706876,401714,178.3,Manhattan
66,56935,2412905,675818,230.19,Manhattan
576,609127,24791469,7461806,214.91,Manhattan
595,706825,32775475,7902304,264.55,Manhattan
261,263995,10638999,3875447,193.59,Manhattan
296,314941,14197540,3376168,258.56,Manhattan
20,15764,662088,189010,226.47,Manhattan
188,158478,6383494,1709978,222.83,Manhattan
165,377444,15811129,4287764,230.43,Manhattan
65,217897,10302170,2436088,269.88,Manhattan
262,245000,9868600,2643550,222.84,Manhattan
58,54027,2405282,620770,248.65,Manhattan
21,26041,967684,282024,179.52,Manhattan
34,28692,924743,300118,162.1,Manhattan
28,20655,703716,227412,170.95,Manhattan
16,7812,262561,105306,149.51,Manhattan
34,30457,981629,192488,192.93,Manhattan
83,169323,10347329,1998011,366.64,Manhattan
95,125313,5047608,1352127,223.26,Manhattan
29,32906,1060560,207966,192.91,Manhattan
27,56495,2443409,692064,194.71,Manhattan
98,97365,3881943,1251140,204.23,Manhattan
16,52794,1788133,526884,177.29,Manhattan
67,96337,3880454,1039476,222.83,Manhattan
25,22475,187000,74800,27.36,Manhattan
311,257680,10379350,2780367,222.83,Manhattan
160,208598,6950485,1923274,179.05,Manhattan
72,91749,679000,356000,19.36,Manhattan
151,116904,4708893,1261394,194.78,Manhattan
45,40594,1508473,368188,179.39,Manhattan
108,73634,3019730,823228,225.29,Manhattan
58,36933,1312000,349000,180.95,Manhattan
233,236187,8389000,2233000,180.89,Manhattan
281,300239,9877000,2691000,132.9,Manhattan
68,41598,1713838,443851,215.47,Manhattan
27,31779,215000,53750,37.76,Manhattan
222,620611,23285325,6845339,165.5,Manhattan
83,80136,2406484,710806,151.04,Manhattan
107,75593,1179000,471600,60.42,Manhattan
1171,994310,33160239,10480027,169.45,Manhattan
478,467344,18558230,4350973,226.9,Manhattan
166,202235,8146026,2182116,222.83,Manhattan
158,415113,22059105,4943996,237.69,Manhattan
94,125900,4508479,916552,210.74,Manhattan
120,146748,6473054,1885712,235.39,Manhattan
202,730068,41314548,10111442,318.5,Manhattan
425,598316,26481466,6551560,250.7,Manhattan
277,276911,10976752,3057097,216.22,Manhattan
549,591835,29816647,6249778,191.33,Manhattan
655,806195,35682191,8827835,250.79,Manhattan
53,146262,6760230,2003789,227.13,Manhattan
11,9335,325325,62264,208.57,Manhattan
65,87712,4157549,1323574,215.18,Manhattan
54,40545,1442997,396125,153.83,Manhattan
26,58898,2742291,864623,225.98,Manhattan
175,154328,6481776,1850393,189.57,Manhattan
142,114510,4039913,1352363,164.27,Manhattan
132,139400,5457510,1770380,200.03,Manhattan
158,239122,10793967,3687261,223.63,Manhattan
62,57627,1925894,605660,153.66,Manhattan
13,8625,327405,68396,174.72,Manhattan
13,6641,252092,52663,227.37,Manhattan
133,239035,11136641,2794319,226.87,Manhattan
498,441871,20285000,5360000,238.55,Manhattan
222,269253,11120149,3642993,209.69,Manhattan
347,442560,19950605,4744243,258.56,Manhattan
143,271808,12103610,3821620,229.38,Manhattan
199,320750,14196395,3592400,237.66,Manhattan
75,68609,3036634,751269,250.78,Manhattan
281,325921,15839761,4093568,237.6,Manhattan
680,665236,28252573,10929827,190.16,Manhattan
161,239435,10168804,3933917,196.45,Manhattan
83,95930,4126909,1302729,220.75,Manhattan
272,218992,8654564,2824997,201.27,Manhattan
87,119000,4198320,1405390,173.55,Manhattan
122,179380,6708812,2217137,184.13,Manhattan
55,43578,1539175,489381,178.12,Manhattan
35,36236,1218617,408380,166.02,Manhattan
66,46142,1524993,459574,171.64,Manhattan
17,45900,2179332,599913,258.5,Manhattan
34,50284,1871068,600894,153.79,Manhattan
62,70100,2292270,754276,163.21,Manhattan
8,13182,485229,115606,206.95,Manhattan
132,181976,6250876,1998096,173.14,Manhattan
28,14940,484504,128185,177.51,Manhattan
23,47376,1803604,491289,209.66,Manhattan
93,68225,2922077,731372,242.2,Manhattan
98,135531,5266735,1622306,168.82,Manhattan
248,264070,10675000,3673000,187.67,Manhattan
132,92422,3897000,1364000,193.98,Manhattan
1,945,40000,14000,194.71,Manhattan
172,213067,8582339,2298993,222.84,Manhattan
186,259288,10444121,2797718,222.83,Manhattan
80,86299,3476124,931166,222.83,Manhattan
40,61344,2375240,609146,217.79,Manhattan
508,471630,14832432,5532220,127.58,Manhattan
452,493268,16470219,5786034,127.56,Manhattan
454,452258,14304394,5304986,127.69,Manhattan
561,640079,21289028,7828166,127.52,Manhattan
484,474360,14901374,5564243,127.54,Manhattan
170,223560,9894766,2503872,248.91,Manhattan
53,62164,1605696,407796,61.51,Manhattan
58,58000,2203420,515040,220.33,Manhattan
20,47000,1899270,522170,119.4,Manhattan
196,203946,9320332,2320905,258.14,Manhattan
201,265469,11239957,3873193,208.68,Manhattan
159,186929,7387434,2411384,201.27,Manhattan
465,446600,16885946,5109104,127.57,Manhattan
29,90440,4337502,1400011,243.9,Manhattan
92,54975,2014284,588782,191.03,Manhattan
110,107050,3444869,856400,180.06,Manhattan
127,219320,11106365,2647192,288.85,Manhattan
16,9957,437511,120778,239.53,Manhattan
34,91271,3616157,794970,230.68,Manhattan
272,226556,8572879,2782108,193.49,Manhattan
161,437054,13111620,5026121,138.48,Manhattan
372,512280,22673513,5609466,242.68,Manhattan
422,602694,26675236,6750173,242.74,Manhattan
167,322204,14260749,3608685,243.08,Manhattan
277,263003,11640513,2945634,243.0,Manhattan
266,388033,17174341,4345970,242.94,Manhattan
319,287900,6595000,1763000,115.2,Manhattan
271,572768,25688645,6031247,258.3,Manhattan
403,421100,16587129,6358610,127.48,Manhattan
432,383760,15116306,5794776,127.55,Manhattan
543,533710,21022837,8059021,173.97,Manhattan
148,152076,6010044,1961780,201.27,Manhattan
25,45968,1431903,356712,127.55,Manhattan
37,55226,1721394,552812,127.48,Manhattan
10,9075,309548,95560,122.42,Manhattan
52,39438,1441459,458664,183.6,Manhattan
20,28600,929500,172744,153.85,Manhattan
36,115502,5214915,1345598,252.07,Manhattan
47,39942,1354433,348294,127.51,Manhattan
11,19902,763839,216733,158.63,Manhattan
85,130259,4536921,1359904,180.52,Manhattan
18,53656,2366766,698065,190.81,Manhattan
147,215942,9112752,2751101,222.31,Manhattan
91,60653,2905885,626545,259.67,Manhattan
134,148751,5838477,1929300,198.73,Manhattan
36,35516,1064770,254650,167.67,Manhattan
59,48846,1584076,544633,158.38,Manhattan
10,8563,296622,100273,170.03,Manhattan
47,27600,974556,314640,176.81,Manhattan
79,88916,2995580,1246602,146.03,Manhattan
38,70430,2568582,950805,169.29,Manhattan
108,145070,5369041,1894614,176.27,Manhattan
47,33570,1138359,292730,153.68,Manhattan
13,27389,967106,312235,176.79,Manhattan
26,54778,2088685,678152,194.88,Manhattan
59,60767,2047240,851953,146.03,Manhattan
93,100964,3131903,1167144,145.36,Manhattan
53,62389,2079425,709363,163.15,Manhattan
279,246842,4800000,1372800,99.46,Manhattan
53,55008,1542424,476919,139.47,Manhattan
123,132774,4738704,1696852,169.27,Manhattan
28,27772,1067000,179129,209.56,Manhattan
12,21807,891906,303553,203.79,Manhattan
55,80629,2636568,867568,118.42,Manhattan
117,176424,5645568,1866566,159.68,Manhattan
12,8594,292798,97456,168.49,Manhattan
97,155319,4970208,1643275,127.48,Manhattan
306,369189,14778636,3850641,223.72,Manhattan
76,147022,4722347,1851007,127.94,Manhattan
89,141562,4538478,1640704,152.58,Manhattan
45,79554,2630851,1275251,118.5,Manhattan
57,60115,2729221,509174,277.82,Manhattan
354,412000,16492360,4297160,223.72,Manhattan
60,56306,1743234,434119,123.08,Manhattan
142,134054,5261620,1738680,198.73,Manhattan
94,171946,5502272,1819189,159.68,Manhattan
15,10789,329820,91275,165.35,Manhattan
72,147994,4577454,1380784,161.37,Manhattan
157,170760,6869675,2435038,196.25,Manhattan
93,166559,5479791,1868792,161.2,Manhattan
84,118026,3508913,716418,127.68,Manhattan
37,59951,2171425,696031,127.52,Manhattan
47,92402,3079759,1050611,163.15,Manhattan
15,15815,500070,129367,174.9,Manhattan
58,116997,3206888,1130191,128.0,Manhattan
15,16506,521920,135019,174.85,Manhattan
212,145085,5240470,1723610,178.8,Manhattan
24,20118,689243,174222,189.68,Manhattan
17,25216,862135,256195,178.06,Manhattan
22,28436,974217,246256,189.69,Manhattan
70,90566,3006791,965434,167.28,Manhattan
30,192725,10673111,2303064,323.91,Manhattan
24,60480,2078093,488074,173.86,Manhattan
54,55190,1896328,445383,167.69,Manhattan
51,78380,2889871,858261,190.84,Manhattan
32,32750,1113173,361560,170.29,Manhattan
30,32905,1118441,363271,127.7,Manhattan
104,167752,7035519,1680875,240.9,Manhattan
261,208241,6765750,1884581,139.45,Manhattan
53,70916,3384821,785040,273.8,Manhattan
152,148385,6858355,2032875,244.51,Manhattan
248,503000,24440770,6800560,263.03,Manhattan
35,44350,1667560,570341,169.15,Manhattan
183,141738,5414392,1481162,179.27,Manhattan
47,95307,4239255,879684,264.46,Manhattan
168,206973,8204410,2284982,216.23,Manhattan
88,68219,2509777,821357,178.98,Manhattan
11,84843,3773817,783101,259.3,Manhattan
164,395521,24838719,6011919,357.63,Manhattan
23,26026,1168828,222522,273.65,Manhattan
226,477801,20765231,6106297,231.13,Manhattan
74,115852,5496019,1325347,271.7,Manhattan
244,499668,22220236,6980362,228.64,Manhattan
56,176494,7769266,2204410,237.44,Manhattan
207,185540,7889161,2298841,227.31,Manhattan
145,132205,4980162,1175302,179.72,Manhattan
87,70773,2666019,629172,211.49,Manhattan
156,141440,5294099,1179610,213.9,Manhattan
75,65658,2457579,547588,213.9,Manhattan
236,364872,15196919,4896582,213.1,Manhattan
120,221819,8247230,1727970,216.23,Manhattan
105,365000,17315600,4175600,328.49,Manhattan
364,351161,15352759,4923277,223.71,Manhattan
100,60900,2142462,673554,178.39,Manhattan
18,11861,508956,135097,237.75,Manhattan
231,350000,16131500,5187000,235.13,Manhattan
48,77029,2950981,793399,211.96,Manhattan
92,63927,2211874,624567,183.85,Manhattan
129,81745,3134103,1198382,179.19,Manhattan
173,164753,7318328,2242288,231.95,Manhattan
261,207246,8859767,2569850,220.27,Manhattan
162,170631,6185374,1861584,186.85,Manhattan
77,105668,4522590,1130648,241.19,Manhattan
174,193134,8579012,2628554,231.95,Manhattan
16,19082,765761,190248,227.91,Manhattan
25,46800,1875000,374000,239.68,Manhattan
27,15410,566009,139615,203.83,Manhattan
73,65985,2263286,600464,186.71,Manhattan
21,17216,648527,153050,238.29,Manhattan
135,197233,8761090,2684341,231.95,Manhattan
146,126021,4192719,1320700,169.33,Manhattan
176,237531,10947804,3520209,235.13,Manhattan
40,54638,2730000,550000,296.15,Manhattan
38,70308,3050000,775000,241.55,Manhattan
115,128436,4129217,1346009,161.5,Manhattan
260,305093,11093181,4680127,154.96,Manhattan
67,104916,5027575,1653476,241.5,Manhattan
79,127399,5659064,1733900,231.95,Manhattan
113,86845,3381744,1016955,195.06,Manhattan
166,122021,4984558,1471573,217.46,Manhattan
366,825532,51500000,14000000,334.23,Manhattan
141,89872,2823778,934669,156.88,Manhattan
126,82112,2579959,853965,156.88,Manhattan
237,438326,19264428,5724538,232.62,Manhattan
16,8214,189210,78000,98.73,Manhattan
81,78000,2521740,939900,150.97,Manhattan
85,119419,5105162,1480796,228.93,Manhattan
20,33376,1400123,366802,233.67,Manhattan
15,10550,455971,108454,248.15,Manhattan
115,93015,2893697,998981,152.13,Manhattan
23,35615,1318467,224018,226.17,Manhattan
97,67540,2122107,702416,156.88,Manhattan
64,158085,7733518,1909667,276.24,Manhattan
85,166692,7641161,2040310,252.69,Manhattan
90,65000,2042300,676000,156.88,Manhattan
59,53435,1742515,585113,161.15,Manhattan
118,219278,10106523,3249700,235.13,Manhattan
174,198115,7724504,2799365,188.03,Manhattan
14,41406,2000000,300000,298.19,Manhattan
42,76035,2860000,900000,189.41,Manhattan
115,95347,3432492,1050724,184.3,Manhattan
87,171958,7136257,1783204,271.03,Manhattan
189,196802,6604675,1989668,174.13,Manhattan
228,242825,9210352,2731781,201.95,Manhattan
106,174032,7977627,2130152,252.69,Manhattan
60,97636,3295215,1260481,154.69,Manhattan
75,85992,3183424,908549,190.6,Manhattan
75,61175,2535092,751229,220.16,Manhattan
230,184076,7931835,1978817,243.71,Manhattan
216,185948,8012499,1998941,243.71,Manhattan
123,158770,6841399,1706778,232.1,Manhattan
242,237122,9326008,2439985,219.58,Manhattan
126,220037,10764210,2658047,264.46,Manhattan
36,78349,3094786,1009919,187.7,Manhattan
13,33255,1221456,301290,203.79,Manhattan
10,22612,1006686,281519,241.69,Manhattan
16,58566,2246006,690493,200.99,Manhattan
68,85219,3528067,1101029,215.05,Manhattan
15,24508,900179,222042,203.81,Manhattan
66,185696,8120486,2460472,229.57,Manhattan
18,56729,2972032,688123,301.15,Manhattan
33,95425,3963000,1348355,206.85,Manhattan
27,25652,942198,232407,203.8,Manhattan
35,77739,2862350,774280,197.79,Manhattan
46,62196,2202360,663009,182.97,Manhattan
19,43682,1608371,435073,197.79,Manhattan
84,96152,3325898,969212,181.48,Manhattan
12,56415,2335581,728882,215.05,Manhattan
48,123994,6000000,1610000,264.77,Manhattan
62,273875,11587651,3182428,231.57,Manhattan
48,92781,3045072,1131928,153.35,Manhattan
16,42830,1916214,523811,218.79,Manhattan
97,153046,6144797,1854918,210.2,Manhattan
72,82280,2772836,916599,167.48,Manhattan
6,6345,213827,70683,167.53,Manhattan
15,24277,1041726,262677,242.04,Manhattan
30,42054,1881496,514320,244.69,Manhattan
12,9445,337659,70082,209.32,Manhattan
111,176897,7277543,2227133,215.6,Manhattan
13,14977,548757,122212,209.79,Manhattan
44,158497,7753673,1914644,259.56,Manhattan
166,165925,6761444,1737235,228.74,Manhattan
27,50302,2082000,412476,250.61,Manhattan
48,100093,3316081,925860,177.48,Manhattan
12,4777,175889,47579,187.67,Manhattan
157,204524,8334353,2141366,228.74,Manhattan
74,104981,3547308,1216730,164.77,Manhattan
86,128842,4921764,1346399,210.0,Manhattan
200,216171,10575085,2611346,276.24,Manhattan
52,90629,3062354,1050390,164.77,Manhattan
93,180846,8846986,2184620,267.02,Manhattan
164,129320,5382298,1669521,216.74,Manhattan
76,106669,4519566,1269361,229.89,Manhattan
97,165624,7785984,2293892,249.17,Manhattan
21,34906,1470939,323928,247.98,Manhattan
138,108820,3942549,1395072,172.62,Manhattan
19,41754,1720682,471403,225.94,Manhattan
55,117892,4480000,1535000,189.11,Manhattan
32,53255,1960849,530420,197.78,Manhattan
81,123370,4105754,924041,191.62,Manhattan
30,45621,1679765,454385,197.78,Manhattan
73,155731,7246163,1945080,255.88,Manhattan
38,55758,1890754,558695,177.28,Manhattan
20,68979,2650000,515000,234.32,Manhattan
54,79883,3190527,992147,208.02,Manhattan
34,54967,1700000,540000,157.86,Manhattan
71,165787,7714069,2070680,255.88,Manhattan
57,87546,2873260,1068061,153.36,Manhattan
66,97000,4048780,913740,243.96,Manhattan
14,9285,308819,88579,176.2,Manhattan
137,102271,4124589,1180207,217.55,Manhattan
62,82086,3200000,780000,223.19,Manhattan
42,37492,999912,429658,109.97,Manhattan
219,254167,11511223,3240629,244.83,Manhattan
88,124765,5192719,1610716,216.74,Manhattan
295,318183,14505963,3929560,250.04,Manhattan
287,307730,13937092,3923558,244.83,Manhattan
578,925645,32184677,11959333,161.74,Manhattan
283,408657,20048712,5067347,274.87,Manhattan
204,206511,7737967,2091956,201.0,Manhattan
16,9237,392757,82394,253.44,Manhattan
88,89223,3086224,899368,181.49,Manhattan
77,208325,10100000,2162414,285.86,Manhattan
295,239536,7971758,1794125,191.62,Manhattan
30,18869,657585,125856,208.54,Manhattan
218,233483,9979063,2986248,225.92,Manhattan
157,112099,4830346,1205064,243.7,Manhattan
110,112573,4850771,1210160,243.71,Manhattan
93,66688,2099338,556845,172.61,Manhattan
45,28035,1135698,280630,230.43,Manhattan
306,504238,21334310,5859246,231.57,Manhattan
127,149981,7050607,2077237,249.17,Manhattan
56,30899,1137701,307754,197.81,Manhattan
204,203938,8487900,2632840,216.74,Manhattan
20,22283,903353,267396,215.64,Manhattan
198,206278,6621524,1631659,180.3,Manhattan
284,277477,10233352,2869112,195.41,Manhattan
36,70776,2887661,847189,217.77,Manhattan
75,125555,5184166,1486571,222.38,Manhattan
13,33133,1557582,458892,248.66,Manhattan
121,119227,3868916,1275729,161.88,Manhattan
197,238634,11103640,2980539,255.88,Manhattan
149,148594,6694160,1827706,246.44,Manhattan
125,91143,3152636,918721,181.48,Manhattan
86,187530,8635757,2087209,249.29,Manhattan
32,61517,2600324,577029,246.57,Manhattan
34,72659,2899094,619781,237.11,Manhattan
218,310519,14063406,3959117,244.94,Manhattan
54,55942,2300000,450000,250.37,Manhattan
16,12000,424320,159720,163.0,Manhattan
238,304510,11373449,3422692,192.01,Manhattan
495,456286,15212575,5484558,158.38,Manhattan
16,4267,218812,47321,300.91,Manhattan
158,142140,4693463,1415714,171.42,Manhattan
128,246580,9697991,2537308,219.58,Manhattan
1,17326,908056,202887,246.51,Manhattan
216,248163,11063107,2610675,256.38,Manhattan
204,322581,13164531,3245165,232.27,Manhattan
28,19747,638421,190559,168.84,Manhattan
251,273109,11374990,3484871,218.09,Manhattan
11,33480,1450354,332791,251.49,Manhattan
181,200000,9210000,2226000,262.57,Manhattan
26,24989,855623,279627,170.8,Manhattan
208,205982,9324805,2731321,240.84,Manhattan
120,141945,4841744,1462034,176.49,Manhattan
36,21145,662684,169371,174.18,Manhattan
53,108075,4650000,1250000,232.06,Manhattan
146,233223,9172661,2399865,219.58,Manhattan
343,433098,20576486,5322774,264.55,Manhattan
95,50038,1717304,545414,173.53,Manhattan
209,317169,14358241,4205661,240.84,Manhattan
126,199534,7063504,2198865,180.23,Manhattan
13,50888,2404458,870185,226.52,Manhattan
50,101117,4220624,952522,243.96,Manhattan
31,50384,2146358,602089,186.95,Manhattan
9,18949,630244,180773,176.63,Manhattan
17,22751,788550,211357,187.86,Manhattan
23,52387,1903744,578876,186.44,Manhattan
56,83594,3624636,961331,240.04,Manhattan
92,152249,6609129,1495085,253.07,Manhattan
54,140295,6641565,1745270,262.19,Manhattan
12,3812,156749,40750,229.8,Manhattan
46,97767,4011380,1102812,224.68,Manhattan
18,60288,2327117,641464,211.53,Manhattan
251,487413,13823033,4201500,141.97,Manhattan
10,45847,1837089,456178,228.02,Manhattan
29,23232,941825,278784,215.61,Manhattan
215,299069,12088369,3729390,211.18,Manhattan
17,25633,1003788,267865,182.81,Manhattan
94,138096,5994747,1356103,224.63,Manhattan
32,48138,1648245,538664,170.8,Manhattan
38,62208,2167949,414927,69.97,Manhattan
30,59931,2261197,504619,215.26,Manhattan
219,285668,11620974,3359456,218.48,Manhattan
102,82637,3139380,727206,218.3,Manhattan
16,15101,523401,140288,187.87,Manhattan
21,63040,2692438,650573,217.02,Manhattan
98,294700,10429433,2734816,146.49,Manhattan
65,60335,2077334,624467,178.37,Manhattan
219,346269,16669390,5104005,226.18,Manhattan
234,343000,15671670,4085130,254.08,Manhattan
42,50156,1717341,561246,170.81,Manhattan
198,295573,9691839,2955730,169.49,Manhattan
59,71863,2605034,676231,170.8,Manhattan
104,88510,3223534,1038222,181.99,Manhattan
94,199437,7574617,1705186,222.75,Manhattan
30,43060,1686230,449977,217.12,Manhattan
59,95534,3609275,1527589,164.95,Manhattan
112,104951,4198040,1328680,206.64,Manhattan
100,194747,8428650,2469392,230.56,Manhattan
147,175375,5750546,1753750,169.49,Manhattan
61,99039,3762492,809149,189.93,Manhattan
40,28559,967008,260458,183.58,Manhattan
165,274377,10791247,2787670,220.57,Manhattan
60,59228,2099040,413411,209.87,Manhattan
253,235069,9501489,2931310,211.18,Manhattan
19,8600,366704,127108,210.12,Manhattan
1258,1496819,56010967,15866281,197.21,Manhattan
290,391767,13378843,3901999,179.28,Manhattan
43,43065,1686425,450029,217.11,Manhattan
22,37488,1519764,449856,215.62,Manhattan
328,331552,12376836,3749853,191.37,Manhattan
149,213419,8967866,2100043,242.87,Manhattan
14,7921,274542,73586,187.86,Manhattan
27,16350,605277,135378,211.5,Manhattan
59,106286,4288640,1003340,233.57,Manhattan
163,273330,11632925,3312760,229.65,Manhattan
14,8345,291157,71183,195.09,Manhattan
26,13796,478169,128165,187.81,Manhattan
31,25593,1037540,307116,215.61,Manhattan
154,181821,6905562,1554570,222.75,Manhattan
221,220209,8867816,2276961,226.16,Manhattan
18,17550,711477,210600,215.61,Manhattan
108,117992,3848899,1463101,118.12,Manhattan
120,180466,7043588,1856995,217.37,Manhattan
88,105768,4414756,996335,243.96,Manhattan
45,51750,1721205,493695,176.23,Manhattan
142,167332,6587861,1427342,233.2,Manhattan
82,109500,3799650,1168365,177.89,Manhattan
197,163567,4996972,1195675,173.76,Manhattan
128,112798,4104719,1012926,202.05,Manhattan
91,81223,2747774,732631,184.14,Manhattan
163,103108,3202534,1041391,156.54,Manhattan
68,137403,5107270,1247619,206.66,Manhattan
16,18290,637407,121994,208.53,Manhattan
82,118052,4387993,1071912,206.66,Manhattan
32,12888,449147,85963,208.57,Manhattan
40,119396,4983589,1124710,235.85,Manhattan
97,268404,11423274,3253056,225.85,Manhattan
129,163480,3876111,1741062,95.2,Manhattan
248,395140,9368769,4208241,95.2,Manhattan
240,312016,7273093,3269928,93.62,Manhattan
60,108700,4088207,1147872,198.81,Manhattan
9,29100,861360,165870,168.21,Manhattan
51,120464,4530651,1272100,188.11,Manhattan
59,63284,2003571,785354,143.61,Manhattan
11,7742,235744,92517,138.34,Manhattan
17,17666,277886,145038,51.45,Manhattan
63,71948,1241822,640337,60.36,Manhattan
55,43516,1253696,274586,33.17,Manhattan
152,109646,3350000,1210000,145.99,Manhattan
13,6342,219814,58917,187.8,Manhattan
17,9590,217214,93407,94.37,Manhattan
17,9590,217214,93407,94.37,Manhattan
11,12184,436675,101371,203.3,Manhattan
12,7690,196403,83821,106.11,Manhattan
68,65699,1764018,492743,139.85,Manhattan
22,35435,1150000,460000,145.0,Manhattan
19,26231,830473,325527,143.61,Manhattan
17,22626,133960,67000,17.59,Manhattan
263,241417,10028462,2505908,234.13,Manhattan
215,184939,7436397,2324683,208.87,Manhattan
10,6504,164559,56130,121.0,Manhattan
22,25721,896120,277015,178.14,Manhattan
12,12222,386949,151675,143.59,Manhattan
233,315656,9600000,3000000,156.4,Manhattan
12,6092,145477,52391,111.29,Manhattan
41,32660,994497,390287,138.33,Manhattan
36,33280,873600,263578,132.66,Manhattan
33,46998,945130,291388,99.45,Manhattan
28,25174,926907,250733,197.78,Manhattan
31,32483,1196024,323531,197.8,Manhattan
35,38481,1033215,288608,139.84,Manhattan
20,22295,820902,222058,197.8,Manhattan
9,10833,377422,116671,182.22,Manhattan
15,21472,705570,248431,158.3,Manhattan
36,40987,793918,367244,74.63,Manhattan
24,27073,524404,242574,74.65,Manhattan
23,32150,901486,396410,113.09,Manhattan
21,24795,400439,224891,37.4,Manhattan
77,131237,3850000,1250000,148.86,Manhattan
5,8800,153912,71016,68.07,Manhattan
5,8320,145517,67142,68.03,Manhattan
5,8640,151114,69725,68.06,Manhattan
34,28408,540888,183516,83.25,Manhattan
4,5224,108032,41583,93.42,Manhattan
12,15230,378313,129303,118.78,Manhattan
125,120394,2854542,1282196,95.2,Manhattan
92,97592,3206873,1129139,158.31,Manhattan
56,51845,1500000,460000,150.16,Manhattan
49,53079,1485000,500000,114.89,Manhattan
158,312279,10220892,3961618,149.26,Manhattan
12,12000,483000,153240,207.67,Manhattan
18,15023,604676,191844,207.68,Manhattan
13,24731,812661,286138,158.3,Manhattan
13,13879,435939,130879,163.92,Manhattan
25,40418,1328135,467636,158.32,Manhattan
28,35526,1429922,453667,207.65,Manhattan
11,14440,365910,153642,106.58,Manhattan
11,16737,549978,193647,158.33,Manhattan
16,12090,218345,112195,61.51,Manhattan
20,16136,562178,173785,178.17,Manhattan
11,12026,387959,144192,146.68,Manhattan
12,9745,320221,112750,158.34,Manhattan
35,36637,868663,390184,95.2,Manhattan
17,22039,522545,234715,95.19,Manhattan
85,94012,3240594,1119683,167.1,Manhattan
24,24090,728963,218496,158.03,Manhattan
54,58429,1322833,637460,73.99,Manhattan
15,18567,359643,166360,74.65,Manhattan
32,57450,1362140,611843,95.2,Manhattan
35,48636,1153160,517973,95.2,Manhattan
24,18540,439583,197451,95.2,Manhattan
14,18448,357338,165294,74.64,Manhattan
13,23700,459069,212352,74.64,Manhattan
13,6866,162793,73123,95.25,Manhattan
14,6846,173409,33066,127.58,Manhattan
35,66215,1569958,705190,95.21,Manhattan
33,28560,677158,304164,134.36,Manhattan
15,20184,478563,214960,95.22,Manhattan
38,42068,1068948,267132,26.8,Manhattan
20,7852,194965,65329,119.97,Manhattan
36,49200,1166532,523980,95.2,Manhattan
20,13885,389335,171202,113.07,Manhattan
414,390628,8902412,3671903,57.73,Manhattan
413,390628,10472737,3289088,57.73,Manhattan
414,390628,10472737,3289088,57.73,Manhattan
414,390628,10472737,3289088,57.73,Manhattan
56,53985,1728060,512858,167.62,Manhattan
132,127758,4071647,1082110,302.77,Manhattan
88,88060,2345038,891167,119.37,Manhattan
60,47400,1262262,479688,82.15,Manhattan
61,48500,1671795,577635,112.27,Manhattan
77,87732,2477552,805380,137.13,Manhattan
20,20670,479544,129188,81.96,Manhattan
98,220057,6689733,2715503,135.07,Manhattan
99,115824,2707965,826983,69.9,Manhattan
11,9215,264286,102471,131.85,Manhattan
56,38255,943751,405503,102.26,Manhattan
342,341224,9926206,4145872,127.13,Manhattan
267,281819,8198115,3424353,127.12,Manhattan
